RefDes     X          Y          Rot.       Exact     (FREE)    Side
C176       1738.3026  2910.0002  180        EXACT     (FREE)    L1_TOP_SIDE                   
C179       3525.0026  2894.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C180       3508.0026  2808.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C181       3530.0026  2619.0002  180        EXACT     (FREE)    L1_TOP_SIDE                   
C182       1380.0026  3215.0009  000        EXACT     (FREE)    L1_TOP_SIDE                   
C183       1060.0026  3315.0009  180        EXACT     (FREE)    L1_TOP_SIDE                   
C184       3530.0026  2704.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C185       3530.0026  2704.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C186       3530.0026  2619.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C187       5625.0026  3100.0009  000        EXACT     (FREE)    L1_TOP_SIDE                   
C188       3530.0026  2404.0002  180        EXACT     (FREE)    L1_TOP_SIDE                   
C189       6150.0026  3100.0009  180        EXACT     (FREE)    L1_TOP_SIDE                   
C190       3530.0026  2494.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C191       639.4000   3209.4000  090        EXACT     (FREE)    L1_TOP_SIDE                   
C192       3260.0026  2942.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C193       3268.0026  1774.0002  090        EXACT     (FREE)    L1_TOP_SIDE                   
C194       3344.0026  2768.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C195       3530.0026  2494.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C196       3530.0026  2414.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C197       3425.0026  2969.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C198       3425.0026  2094.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C199       2415.0000  2467.0000  090        EXACT     (FREE)    L1_TOP_SIDE                   
C200       3425.0026  2309.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C201       2430.0000  1792.0000  000        EXACT     (FREE)    L1_TOP_SIDE                   
C202       1836.0026  2910.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C203       2347.0026  1922.0002  090        EXACT     (FREE)    L1_TOP_SIDE                   
C204       2430.0026  2325.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C205       2197.0026  1922.0002  090        EXACT     (FREE)    L1_TOP_SIDE                   
C206       2152.0026  1952.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C207       2459.0026  2878.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C208       1615.0026  2355.0002  180        EXACT     (FREE)    L1_TOP_SIDE                   
C209       2415.0026  2985.0002  090        EXACT     (FREE)    L1_TOP_SIDE                   
C210       2433.0026  2847.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C211       3215.0026  2974.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C212       2906.0026  2912.0002  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C213       3142.0026  2907.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C214       3530.0026  2164.0002  180        EXACT     (FREE)    L1_TOP_SIDE                   
C215       3530.0026  2254.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C216       3530.0026  2254.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C217       3530.0026  2164.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C218       3530.0026  1949.0002  180        EXACT     (FREE)    L1_TOP_SIDE                   
C219       3530.0026  2039.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C220       3530.0026  1859.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C221       3530.0026  1724.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C222       1045.0026  450.0002   000        EXACT     (FREE)    L1_TOP_SIDE                   
C223       2828.0026  2909.0002  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C224       2270.0026  2985.0002  090        EXACT     (FREE)    L1_TOP_SIDE                   
C225       1200.0026  930.0009   270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C226       1105.0026  580.0002   270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C228       3530.0026  1769.0002  180        EXACT     (FREE)    L1_TOP_SIDE                   
