RefDes     X          Y          Rot.       Exact     (FREE)    Side
R145       4190.0000  1310.0000  270        EXACT     (FREE)    Bottom                        
R146       4190.0000  1140.0000  090        EXACT     (FREE)    Bottom                        
R147       4100.0000  1140.0000  270        EXACT     (FREE)    Bottom                        
R148       4010.0000  1140.0000  090        EXACT     (FREE)    Bottom                        
R149       3520.0000  1250.0000  000        EXACT     (FREE)    Bottom                        
R150       3520.0000  1160.0000  000        EXACT     (FREE)    Bottom                        
R151       3520.0000  890.0000   000        EXACT     (FREE)    Bottom                        
R152       3520.0000  980.0000   000        EXACT     (FREE)    Bottom                        
R153       3520.0000  1070.0000  000        EXACT     (FREE)    Bottom                        
R154       3520.0000  620.0000   000        EXACT     (FREE)    Bottom                        
R155       3520.0000  710.0000   000        EXACT     (FREE)    Bottom                        
R156       3520.0000  800.0000   000        EXACT     (FREE)    Bottom                        
R157       4100.0000  1480.0000  270        EXACT     (FREE)    Bottom                        
R158       4100.0000  1650.0000  270        EXACT     (FREE)    Bottom                        
R159       4200.0000  1650.0000  270        EXACT     (FREE)    Bottom                        
R160       3880.0000  1670.0000  270        EXACT     (FREE)    Bottom                        
R161       3790.0000  1670.0000  270        EXACT     (FREE)    Bottom                        
R162       4000.0000  1480.0000  270        EXACT     (FREE)    Bottom                        
R163       4000.0000  1650.0000  270        EXACT     (FREE)    Bottom                        
R164       4290.0000  1650.0000  270        EXACT     (FREE)    Bottom                        
R165       5930.0000  4750.0000  000        EXACT     (FREE)    Bottom                        
R166       5800.0000  3390.0000  090        EXACT     (FREE)    Bottom                        
R167       10000.0000 4660.0000  090        EXACT     (FREE)    Bottom                        
R168       9760.0000  4660.0000  090        EXACT     (FREE)    Bottom                        
R169       9420.0000  5120.0000  000        EXACT     (FREE)    Bottom                        
R170       9420.0000  4880.0000  000        EXACT     (FREE)    Bottom                        
R171       9420.0000  4520.0000  000        EXACT     (FREE)    Bottom                        
R172       5700.0000  3390.0000  090        EXACT     (FREE)    Bottom                        
R173       9420.0000  4270.0000  000        EXACT     (FREE)    Bottom                        
R174       9420.0000  3920.0000  000        EXACT     (FREE)    Bottom                        
R175       9420.0000  3670.0000  000        EXACT     (FREE)    Bottom                        
R176       9420.0000  3320.0000  000        EXACT     (FREE)    Bottom                        
R177       9420.0000  3070.0000  000        EXACT     (FREE)    Bottom                        
R178       9410.0000  2720.0000  000        EXACT     (FREE)    Bottom                        
R179       9410.0000  2480.0000  000        EXACT     (FREE)    Bottom                        
R180       9410.0000  2120.0000  000        EXACT     (FREE)    Bottom                        
R181       9410.0000  1870.0000  000        EXACT     (FREE)    Bottom                        
R182       9410.0000  1520.0000  000        EXACT     (FREE)    Bottom                        
R183       9410.0000  1270.0000  000        EXACT     (FREE)    Bottom                        
R184       9410.0000  910.0000   000        EXACT     (FREE)    Bottom                        
R185       9410.0000  680.0000   000        EXACT     (FREE)    Bottom                        
R186       9760.0000  1170.0000  270        EXACT     (FREE)    Bottom                        
R187       10000.0000 1170.0000  270        EXACT     (FREE)    Bottom                        
R188       6130.0000  5190.0000  090        EXACT     (FREE)    Bottom                        
R189       6130.0000  5360.0000  270        EXACT     (FREE)    Bottom                        
