RefDes     X          Y          Rot.       Exact     (FREE)    Side
C252       2690.0000  3905.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C253       3150.0000  3890.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C254       2375.0000  1675.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C255       2970.0000  3935.0000  180        EXACT     (FREE)    L1_TOP SIDE                   
C256       2550.0000  1675.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C257       3150.0000  3650.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C258       3025.0000  3525.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C259       2695.0000  3625.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C260       2325.0000  1675.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C261       2100.0000  1695.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C262       1340.0000  1675.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C263       1425.0000  1675.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C264       2050.0000  850.0000   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C265       1775.0000  1200.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C266       2200.0000  1460.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C267       1620.0000  1590.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C268       1665.0000  1200.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C269       1795.0000  1385.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C270       1795.0000  1275.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C271       1885.0000  1200.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C272       1795.0000  1120.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C273       1995.0000  1200.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C274       1565.0000  675.0000   270        EXACT     (FREE)    L1_TOP SIDE                   
C275       2050.0000  800.0000   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C276       1620.0000  1540.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C277       2055.0000  1610.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C278       2145.0000  1460.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C279       1375.0000  825.0000   270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C280       2055.0000  1555.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C281       2190.0000  945.0000   270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C282       1575.0000  775.0000   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C283       1425.0000  825.0000   270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C284       1970.0000  825.0000   270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C285       2240.0000  945.0000   270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C286       1650.0000  675.0000   270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C287       1430.0000  1465.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C288       1375.0000  1465.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C289       1400.0000  1595.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C290       2140.0000  945.0000   270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C291       2339.0000  4000.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C292       1615.0000  3985.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C293       1050.0000  5100.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C294       740.0000   4205.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C295       635.0000   4555.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C296       825.0000   4575.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C297       1180.0000  4200.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C298       1265.0000  4540.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C299       1400.0000  4570.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C300       2040.0000  3456.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C301       2136.0000  3456.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C302       4764.0000  4848.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C303       4460.0000  4847.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C304       1540.0000  5100.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C305       1800.0000  4550.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C306       2070.0000  5095.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C307       1755.0000  4200.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C308       2520.0000  5095.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C309       2315.0000  4200.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C310       2360.0000  4550.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C311       1950.0000  4525.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
