*PADS-ECO-V9.0.1-MILS*
*REMARK*  old file: D:\Vijay\SVN\NGP_ODC\PDLC\Prodigy HW files\IES\Rev3\Schematics\18-IES-NGP_rev3-156406.asc
*REMARK*  new file: D:\Vijay\SVN\NGP_ODC\PDLC\Prodigy HW files\IES\Rev3\Schematics\18-IES-NGP_rev3.asc
*REMARK*  created by ECOGEN (Version 6.4v) on 7/25/2012 3:27:57 PM

PART DIFFERENCES
----------------
OLD DESIGN                                        NEW DESIGN
Ref-des	Part-type:Decal                           Ref-des	Part-type:Decal
C271   CAP_100NF_50V_0603:0603                    C271   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C273   CAP_100NF_50V_0603:0603                    C273   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C274   CAP_100NF_50V_0603:0603                    C274   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C275   CAP_100NF_50V_0603:0603                    C275   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C276   CAP_100NF_50V_0603:0603                    C276   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C277   CAP_100NF_50V_0603:0603                    C277   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C278   CAP_100NF_50V_0603:0603                    C278   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C279   CAP_100NF_50V_0603:0603                    C279   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C280   CAP_100NF_50V_0603:0603                    C280   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C281   CAP_100NF_50V_0603:0603                    C281   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C282   CAP_100NF_50V_0603:0603                    C282   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C283   CAP_100NF_50V_0603:0603                    C283   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C296   CAP_100NF_50V_0603:0603                    C296   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C297   CAP_100NF_50V_0603:0603                    C297   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C299   CAP_100NF_50V_0603:0603                    C299   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C304   CAP_100NF_50V_0603:0603                    C304   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C305   CAP_100NF_50V_0603:0603                    C305   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C306   CAP_100NF_50V_0603:0603                    C306   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C307   CAP_100NF_50V_0603:0603                    C307   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C308   CAP_100NF_50V_0603:0603                    C308   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C309   CAP_100NF_50V_0603:0603                    C309   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C310   CAP_100NF_50V_0603:0603                    C310   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C311   CAP_100NF_50V_0603:0603                    C311   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C36   CAP_100NF_50V_0603:0603                     C36   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C37   CAP_100NF_50V_0603:0603                     C37   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C38   CAP_100NF_50V_0603:0603                     C38   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C39   CAP_100NF_50V_0603:0603                     C39   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C4   CAP_100NF_50V_0603:0603                      C4   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C40   CAP_100NF_50V_0603:0603                     C40   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
