*PADS-ECO-V9.4-MILS*
*REMARK*  old file: E:\CCC_NGP\PDLC\design\Schematics\MPC5534_daughter_card\Rev3.0\CCCNGP_MPC5534_BOARD_REV2.0.asc
*REMARK*  new file: E:\CCC_NGP\PDLC\design\Schematics\MPC5534_daughter_card\Rev3.0\CCCNGP_MPC5534_BOARD_REV3.0.asc
*REMARK*  created by ECOGEN (Version 6.4v) on 7/26/2012 3:46:36 PM

PART DIFFERENCES
----------------
OLD DESIGN                                        NEW DESIGN
Ref-des	Part-type:Decal                           Ref-des	Part-type:Decal
C195   CAP_100NF_50V_0603                         C195   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C196   CAP_100NF_50V_0603                         C196   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C22   CAP_100NF_50V_0603                          C22   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C244   CAP_100NF_50V_0603                         C244   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C246   CAP_100NF_50V_0603                         C246   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C299   CAP_100NF_50V_0603                         C299   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C4   CAP_100NF_50V_0603                           C4   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C41   CAP_100NF_50V_0603                          C41   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C42   CAP_100NF_50V_0603                          C42   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C43   CAP_100NF_50V_0603                          C43   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C44   CAP_100NF_50V_0603                          C44   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C47   CAP_100NF_50V_0603                          C47   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C7   CAP_100NF_50V_0603                           C7   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C1   CAP_10UF_6.3V_0805                           C1   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C116   CAP_10UF_6.3V_0805                         C116   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C2   CAP_10UF_6.3V_0805                           C2   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C298   CAP_10UF_6.3V_0805                         C298   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C31   CAP_10UF_6.3V_0805                          C31   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C39   CAP_10UF_6.3V_0805                          C39   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C49   CAP_10UF_6.3V_0805                          C49   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C50   CAP_10UF_6.3V_0805                          C50   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C82   CAP_10UF_6.3V_0805                          C82   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C84   CAP_10UF_6.3V_0805                          C84   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C37   CAP_12PF_50V_0603                           C37   CAP-12PF-50V-0603-5%-06035A120JAT2A
C38   CAP_12PF_50V_0603                           C38   CAP-12PF-50V-0603-5%-06035A120JAT2A
C45   CAP_12PF_50V_0603                           C45   CAP-12PF-50V-0603-5%-06035A120JAT2A
C46   CAP_12PF_50V_0603                           C46   CAP-12PF-50V-0603-5%-06035A120JAT2A
C106   CAP_220PF_10V_0402                         C106   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C107   CAP_220PF_10V_0402                         C107   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C108   CAP_220PF_10V_0402                         C108   CAP-220PF-10V-01005-10%-C0402X5R1A221K
C109   CAP_220PF_10V_0402                         C109   CAP-220PF-10V-01005-10%-C0402X5R1A221K
